1,abandon,Negative,0,1,0,0,0,1,0,1,0,0
2,abandoned,Negative,0,1,1,0,0,1,0,1,0,0
3,abandonment,Negative,0,1,1,0,0,1,0,1,1,0
4,abba,Positive,1,0,0,0,0,0,0,0,0,0
5,abduction,Negative,0,1,0,0,0,1,0,1,1,0
6,aberrant,Negative,0,1,0,0,0,0,0,0,0,0
7,aberration,Negative,0,1,0,0,1,0,0,0,0,0
8,abhor,Negative,0,1,1,0,1,1,0,0,0,0
9,abhorrent,Negative,0,1,1,0,1,1,0,0,0,0
10,ability,Positive,1,0,0,0,0,0,0,0,0,0
11,abject,Negative,0,1,0,0,1,0,0,0,0,0
12,abnormal,Negative,0,1,0,0,1,0,0,0,0,0
13,abolish,Negative,0,1,1,0,0,0,0,0,0,0
14,abolition,Negative,0,1,0,0,0,0,0,0,0,0
15,abominable,Negative,0,1,0,0,1,1,0,0,0,0
16,abomination,Negative,0,1,1,0,1,1,0,0,0,0
17,abort,Negative,0,1,0,0,0,0,0,0,0,0
18,abortion,Negative,0,1,0,0,1,1,0,1,0,0
19,abortive,Negative,0,1,0,0,0,0,0,1,0,0
20,abovementioned,Positive,1,0,0,0,0,0,0,0,0,0
21,abrasion,Negative,0,1,0,0,0,0,0,0,0,0
22,abrogate,Negative,0,1,0,0,0,0,0,0,0,0
23,abscess,Negative,0,1,0,0,0,0,0,1,0,0
24,absence,Negative,0,1,0,0,0,1,0,1,0,0
25,absent,Negative,0,1,0,0,0,0,0,1,0,0
26,absentee,Negative,0,1,0,0,0,0,0,1,0,0
27,absenteeism,Negative,0,1,0,0,0,0,0,0,0,0
28,absolute,Positive,1,0,0,0,0,0,0,0,0,0
29,absolution,Positive,1,0,0,0,0,0,1,0,0,1
30,absorbed,Positive,1,0,0,0,0,0,0,0,0,0
31,absurd,Negative,0,1,0,0,0,0,0,0,0,0
32,absurdity,Negative,0,1,0,0,0,0,0,0,0,0
33,abundant,Positive,1,0,0,0,0,0,1,0,0,0
34,abuse,Negative,0,1,1,0,1,1,0,1,0,0
35,abysmal,Negative,0,1,0,0,0,0,0,1,0,0
36,abyss,Negative,0,1,0,0,0,1,0,1,0,0
37,academic,Positive,1,0,0,0,0,0,0,0,0,1
38,academy,Positive,1,0,0,0,0,0,0,0,0,0
39,acceptable,Positive,1,0,0,0,0,0,0,0,0,0
40,acceptance,Positive,1,0,0,0,0,0,0,0,0,0
41,accessible,Positive,1,0,0,0,0,0,0,0,0,0
42,accident,Negative,0,1,0,0,0,1,0,1,1,0
43,accidental,Negative,0,1,0,0,0,1,0,0,1,0
44,accolade,Positive,1,0,0,1,0,0,1,0,1,1
45,accommodation,Positive,1,0,0,0,0,0,0,0,0,0
46,accompaniment,Positive,1,0,0,1,0,0,1,0,0,1
47,accomplish,Positive,1,0,0,0,0,0,1,0,0,0
48,accomplished,Positive,1,0,0,0,0,0,1,0,0,0
49,accomplishment,Positive,1,0,0,0,0,0,0,0,0,0
50,accord,Positive,1,0,0,0,0,0,0,0,0,1
51,accountability,Positive,1,0,0,0,0,0,0,0,0,1
52,accountable,Positive,1,0,0,0,0,0,0,0,0,1
53,accredited,Positive,1,0,0,0,0,0,0,0,0,1
54,accueil,Positive,1,0,0,0,0,0,0,0,0,0
55,accurate,Positive,1,0,0,0,0,0,0,0,0,1
56,accursed,Negative,0,1,1,0,0,1,0,1,0,0
57,accusation,Negative,0,1,1,0,1,0,0,0,0,0
58,accusative,Negative,0,1,0,0,0,0,0,0,0,0
59,accused,Negative,0,1,1,0,0,1,0,0,0,0
60,accuser,Negative,0,1,1,0,0,1,0,0,0,0
61,accusing,Negative,0,1,1,0,0,1,0,0,0,0
62,ace,Positive,1,0,0,0,0,0,0,0,0,0
63,ache,Negative,0,1,0,0,0,0,0,1,0,0
64,achieve,Positive,1,0,0,0,0,0,1,0,0,1
65,achievement,Positive,1,0,0,1,0,0,1,0,0,1
66,aching,Negative,0,1,0,0,0,0,0,1,0,0
67,acid,Negative,0,1,0,0,0,0,0,0,0,0
68,acknowledgment,Positive,1,0,0,0,0,0,0,0,0,0
69,acquire,Positive,1,0,0,0,0,0,0,0,0,0
70,acquiring,Positive,1,0,0,1,0,0,0,0,0,0
71,acrobat,Positive,1,0,0,0,0,1,1,0,0,1
72,action,Positive,1,0,0,0,0,0,0,0,0,0
73,actionable,Negative,0,1,1,0,1,0,0,0,0,0
74,actual,Positive,1,0,0,0,0,0,0,0,0,0
75,acuity,Positive,1,0,0,0,0,0,0,0,0,0
76,acumen,Positive,1,0,0,0,0,0,0,0,0,0
77,adapt,Positive,1,0,0,0,0,0,0,0,0,0
